Waktu,Harga,Volume
2026-08-21 09:00,60.0,19438200
2026-08-21 09:05,60.0,19438200
2026-08-21 09:15,60.0,19438200
2026-08-21 09:10,60.0,19438200
2026-08-21 09:25,60.0,19438200
2026-08-21 09:20,60.0,19438200
2026-08-21 09:35,60.0,19438200
2026-08-21 09:30,60.0,19438200
2026-08-21 09:45,60.0,19438200
2026-08-21 09:40,60.0,19438200
2026-08-21 09:55,60.0,19438200
2026-08-21 09:50,60.0,19438200
2026-08-21 10:05,60.0,19438200
2026-08-21 10:00,60.0,19438200
2026-08-21 10:15,60.0,1035900
2026-08-21 10:10,61.0,1065300
2026-08-21 10:25,60.0,1450500
2026-08-21 10:20,61.0,1440700
2026-08-21 10:35,61.0,2783900
2026-08-21 10:30,60.0,2799900
2026-08-21 10:45,60.0,3274900
2026-08-21 10:40,60.0,3347400
2026-08-21 10:50,61.0,3511600
2026-08-21 10:55,60.0,3553500
2026-08-21 11:05,59.0,5903500
2026-08-21 11:00,60.0,5912800
2026-08-21 11:15,59.0,6115000
2026-08-21 11:10,59.0,6116100
