Waktu,Harga,Volume
2026-08-21 09:00,123.0,3741600
2026-08-21 09:05,123.0,3741600
2026-08-21 09:10,123.0,3741600
2026-08-21 09:15,123.0,3741600
2026-08-21 09:25,123.0,3741600
2026-08-21 09:20,123.0,3741600
2026-08-21 09:35,123.0,3741600
2026-08-21 09:30,123.0,3741600
2026-08-21 09:45,123.0,3741600
2026-08-21 09:40,123.0,3741600
2026-08-21 09:55,123.0,3741600
2026-08-21 09:50,123.0,3741600
2026-08-21 10:05,123.0,3741600
2026-08-21 10:00,123.0,3741600
2026-08-21 10:15,127.0,79400
2026-08-21 10:10,127.0,79600
2026-08-21 10:25,129.0,215100
2026-08-21 10:20,128.0,217700
2026-08-21 10:35,130.0,397500
2026-08-21 10:30,129.0,445400
2026-08-21 10:45,125.0,615400
2026-08-21 10:40,127.0,617400
2026-08-21 10:50,128.0,626300
2026-08-21 10:55,128.0,626600
2026-08-21 11:05,128.0,638200
2026-08-21 11:00,128.0,640600
2026-08-21 11:15,128.0,642300
2026-08-21 11:10,128.0,641800
2026-08-21 11:25,128.0,654200
2026-08-21 11:20,128.0,654600
2026-08-21 11:35,127.0,655900
2026-08-21 11:30,127.0,655900
2026-08-21 11:45,128.0,817200
2026-08-21 11:40,128.0,817900
2026-08-21 11:55,130.0,850700
2026-08-21 11:50,130.0,850700
2026-08-21 12:05,129.0,912600
2026-08-21 12:00,129.0,913900
2026-08-21 12:10,129.0,915900
2026-08-21 12:15,129.0,915900
