Waktu,Harga,Volume
2026-08-18 09:00,81.0,10592600
2026-08-18 09:05,81.0,10592600
2026-08-18 09:10,81.0,10592600
2026-08-18 09:15,81.0,10592600
2026-08-18 09:25,81.0,10592600
2026-08-18 09:20,81.0,10592600
2026-08-18 09:35,81.0,10592600
2026-08-18 09:30,81.0,10592600
2026-08-18 09:40,81.0,10592600
2026-08-18 09:45,81.0,10592600
2026-08-18 09:55,81.0,10592600
2026-08-18 09:50,81.0,10592600
2026-08-18 10:05,81.0,10592600
2026-08-18 10:00,81.0,10592600
2026-08-18 10:15,82.0,561500
2026-08-18 10:10,82.0,551000
2026-08-18 10:20,83.0,610900
2026-08-18 10:25,82.0,610800
2026-08-18 10:35,82.0,611000
2026-08-18 10:30,82.0,660500
2026-08-18 10:40,82.0,736200
2026-08-18 10:45,82.0,737500
2026-08-18 10:55,82.0,989400
2026-08-18 10:50,82.0,990200
2026-08-18 11:05,82.0,990300
2026-08-18 11:00,82.0,991100
2026-08-18 11:15,81.0,1005500
2026-08-18 11:10,81.0,1005500
2026-08-18 11:25,81.0,1010800
2026-08-18 11:20,81.0,1052000
2026-08-18 11:35,82.0,1407800
2026-08-18 11:30,82.0,1407800
2026-08-18 11:45,82.0,1447400
2026-08-18 11:40,82.0,1447400
2026-08-18 11:55,83.0,2506300
2026-08-18 11:50,83.0,2400000
2026-08-18 12:05,83.0,2754400
