Waktu,Harga,Volume
2026-08-20 09:00,96.0,15787100
2026-08-20 09:05,96.0,15787100
2026-08-20 09:10,96.0,15787100
2026-08-20 09:15,96.0,15787100
2026-08-20 09:25,96.0,15787100
2026-08-20 09:20,96.0,15787100
2026-08-20 09:35,96.0,15787100
2026-08-20 09:30,96.0,15787100
2026-08-20 09:45,96.0,15787100
2026-08-20 09:40,96.0,15787100
2026-08-20 09:55,96.0,15787100
2026-08-20 09:50,96.0,15787100
2026-08-20 10:05,96.0,15787100
2026-08-20 10:00,96.0,15787100
2026-08-20 10:15,96.0,670700
2026-08-20 10:10,97.0,803800
2026-08-20 10:25,96.0,1149100
2026-08-20 10:20,96.0,1383100
2026-08-20 10:35,96.0,1960000
2026-08-20 10:30,96.0,1960600
2026-08-20 10:45,95.0,2289800
2026-08-20 10:40,96.0,2289400
2026-08-20 10:55,95.0,2331700
2026-08-20 10:50,96.0,2411700
2026-08-20 11:05,95.0,2456100
2026-08-20 11:00,95.0,2492600
2026-08-20 11:15,94.0,3563100
2026-08-20 11:10,94.0,3586100
2026-08-20 11:25,94.0,3634900
2026-08-20 11:20,94.0,3696100
2026-08-20 11:35,95.0,3724000
2026-08-20 11:30,95.0,3715700
2026-08-20 11:45,95.0,3763300
2026-08-20 11:40,95.0,3763300
2026-08-20 11:55,94.0,3779000
2026-08-20 11:50,94.0,3779000
2026-08-20 12:05,95.0,3842700
2026-08-20 12:00,95.0,3842700
2026-08-20 12:10,95.0,3837800
2026-08-20 12:15,95.0,3838200
2026-08-20 12:25,95.0,3872500
2026-08-20 12:20,95.0,3872500
2026-08-20 12:35,95.0,3873900
2026-08-20 12:30,94.0,3880500
2026-08-20 12:45,94.0,3882500
2026-08-20 12:40,94.0,3882500
2026-08-20 12:55,94.0,4317200
2026-08-20 12:50,95.0,4319500
2026-08-20 13:00,95.0,4329700
2026-08-20 13:05,95.0,4329700
2026-08-20 13:15,95.0,4359900
2026-08-20 13:10,95.0,4359900
2026-08-20 13:25,95.0,4359700
2026-08-20 13:20,95.0,4359700
2026-08-20 13:30,95.0,4359700
2026-08-20 13:35,95.0,4359700
2026-08-20 13:45,95.0,4359700
2026-08-20 13:40,95.0,4359700
2026-08-20 13:55,95.0,4359700
2026-08-20 13:50,95.0,4359700
2026-08-20 14:05,95.0,4359700
2026-08-20 14:00,95.0,4359700
2026-08-20 14:15,95.0,4359700
2026-08-20 14:10,95.0,4359700
2026-08-20 14:20,95.0,4359700
2026-08-20 14:25,95.0,4359700
2026-08-20 14:35,95.0,4359700
2026-08-20 14:30,95.0,4359700
2026-08-20 14:45,94.0,4466800
2026-08-20 14:40,95.0,4527100
2026-08-20 14:55,95.0,4589700
2026-08-20 14:50,95.0,4589700
2026-08-20 15:05,95.0,4625300
2026-08-20 15:00,95.0,4625300
2026-08-20 15:15,94.0,4637800
2026-08-20 15:10,94.0,4637600
2026-08-20 15:25,95.0,4865400
2026-08-20 15:20,95.0,4878300
2026-08-20 15:35,95.0,4954000
2026-08-20 15:30,95.0,4954000
2026-08-20 15:45,95.0,4973100
2026-08-20 15:40,95.0,4964400
2026-08-20 15:55,95.0,5027700
2026-08-20 15:50,95.0,5027700
2026-08-20 16:05,94.0,5031800
2026-08-20 16:00,95.0,5076000
2026-08-20 16:10,95.0,5185200
2026-08-20 16:15,95.0,5237800
