Waktu,Harga,Volume
2026-08-20 09:00,70.0,43093500
2026-08-20 09:05,70.0,43093500
2026-08-20 09:10,70.0,43093500
2026-08-20 09:15,70.0,43093500
2026-08-20 09:25,70.0,43093500
2026-08-20 09:20,70.0,43093500
2026-08-20 09:35,70.0,43093500
2026-08-20 09:30,70.0,43093500
2026-08-20 09:45,70.0,43093500
2026-08-20 09:40,70.0,43093500
2026-08-20 09:55,70.0,43093500
2026-08-20 09:50,70.0,43093500
2026-08-20 10:05,70.0,43093500
2026-08-20 10:00,70.0,43093500
2026-08-20 10:15,70.0,417200
2026-08-20 10:10,71.0,468900
2026-08-20 10:25,72.0,1209500
2026-08-20 10:20,72.0,1265400
2026-08-20 10:35,77.0,16791300
2026-08-20 10:30,76.0,17720600
2026-08-20 10:45,74.0,22772500
2026-08-20 10:40,74.0,23472200
2026-08-20 10:55,73.0,24753200
2026-08-20 10:50,73.0,25078100
2026-08-20 11:05,72.0,29124500
2026-08-20 11:00,72.0,29117900
2026-08-20 11:15,72.0,30039500
2026-08-20 11:10,72.0,30013900
2026-08-20 11:25,72.0,30149100
2026-08-20 11:20,72.0,30148500
2026-08-20 11:35,72.0,30887600
2026-08-20 11:30,72.0,30887600
2026-08-20 11:45,73.0,31957100
2026-08-20 11:40,73.0,32075400
2026-08-20 11:55,74.0,32244800
2026-08-20 11:50,73.0,32252100
2026-08-20 12:05,74.0,32447300
2026-08-20 12:00,74.0,32447400
