Waktu,Harga,Volume
2026-08-21 09:00,97.0,6272300
2026-08-21 09:05,97.0,6272300
2026-08-21 09:15,97.0,6272300
2026-08-21 09:10,97.0,6272300
2026-08-21 09:25,97.0,6272300
2026-08-21 09:20,97.0,6272300
2026-08-21 09:35,97.0,6272300
2026-08-21 09:30,97.0,6272300
2026-08-21 09:45,97.0,6272300
2026-08-21 09:40,97.0,6272300
2026-08-21 09:55,97.0,6272300
2026-08-21 09:50,97.0,6272300
2026-08-21 10:05,97.0,6272300
2026-08-21 10:00,97.0,6272300
2026-08-21 10:15,93.0,1957200
2026-08-21 10:10,93.0,1957200
2026-08-21 10:25,94.0,3209000
2026-08-21 10:20,94.0,3251400
2026-08-21 10:35,94.0,3440600
2026-08-21 10:30,96.0,3706900
2026-08-21 10:45,95.0,3951300
2026-08-21 10:40,95.0,3951300
2026-08-21 10:50,95.0,3956900
2026-08-21 10:55,95.0,3960800
2026-08-21 11:05,95.0,4024100
2026-08-21 11:00,95.0,4024100
2026-08-21 11:15,95.0,4047500
2026-08-21 11:10,95.0,4047500
2026-08-21 11:25,94.0,4158300
