Waktu,Harga,Volume
2026-08-19 09:00,60.0,23324000
2026-08-19 09:05,60.0,23324000
2026-08-19 09:15,60.0,23324000
2026-08-19 09:10,60.0,23324000
2026-08-19 09:25,60.0,23324000
2026-08-19 09:20,60.0,23324000
2026-08-19 09:35,60.0,23324000
2026-08-19 09:30,60.0,23324000
2026-08-19 09:45,60.0,23324000
2026-08-19 09:40,60.0,23324000
2026-08-19 09:55,60.0,23324000
2026-08-19 09:50,60.0,23324000
2026-08-19 10:05,60.0,23324000
2026-08-19 10:00,60.0,23324000
2026-08-19 10:15,60.0,1220400
2026-08-19 10:10,60.0,1600900
2026-08-19 10:25,61.0,3525400
2026-08-19 10:20,61.0,4478600
2026-08-19 10:35,60.0,6480800
2026-08-19 10:30,60.0,6480800
2026-08-19 10:45,61.0,6524100
2026-08-19 10:40,61.0,6524100
2026-08-19 10:55,61.0,7265100
2026-08-19 10:50,61.0,7265400
2026-08-19 11:05,61.0,7375100
2026-08-19 11:00,61.0,7375100
2026-08-19 11:15,60.0,7465400
2026-08-19 11:10,60.0,7475400
2026-08-19 11:25,60.0,7504000
2026-08-19 11:20,60.0,7569700
2026-08-19 11:35,61.0,7623300
2026-08-19 11:30,61.0,7622100
2026-08-19 11:45,60.0,7747600
2026-08-19 11:40,60.0,7841100
2026-08-19 11:55,60.0,7978200
2026-08-19 11:50,60.0,7978200
2026-08-19 12:00,60.0,9341200
2026-08-19 12:05,60.0,9359700
2026-08-19 12:15,60.0,9341200
2026-08-19 12:10,60.0,9341200
2026-08-19 12:25,61.0,9595100
2026-08-19 12:20,61.0,9595100
2026-08-19 12:35,61.0,9792600
2026-08-19 12:30,60.0,9787800
2026-08-19 12:45,60.0,9843700
2026-08-19 12:40,60.0,9826100
2026-08-19 12:55,61.0,9831400
2026-08-19 12:50,61.0,9837400
2026-08-19 13:05,61.0,9844700
2026-08-19 13:00,61.0,9844200
2026-08-19 13:15,61.0,9844200
2026-08-19 13:10,61.0,9844200
2026-08-19 13:25,61.0,9844200
2026-08-19 13:20,61.0,9844200
2026-08-19 13:35,61.0,9844200
2026-08-19 13:30,61.0,9844200
2026-08-19 13:45,61.0,9844200
2026-08-19 13:40,61.0,9844200
2026-08-19 13:50,61.0,9844200
2026-08-19 13:55,61.0,9844200
2026-08-19 14:05,61.0,9844200
2026-08-19 14:00,61.0,9844200
2026-08-19 14:15,61.0,9844200
2026-08-19 14:10,61.0,9844200
2026-08-19 14:25,61.0,9844200
2026-08-19 14:20,61.0,9844200
2026-08-19 14:35,61.0,9844200
2026-08-19 14:30,61.0,9844200
2026-08-19 14:45,60.0,9868900
2026-08-19 14:40,60.0,9868900
2026-08-19 14:55,60.0,9876200
2026-08-19 14:50,60.0,9876200
2026-08-19 15:05,60.0,10876100
2026-08-19 15:00,60.0,10376100
2026-08-19 15:15,60.0,10441100
2026-08-19 15:10,60.0,10441100
2026-08-19 15:25,60.0,10452100
2026-08-19 15:20,60.0,10452100
2026-08-19 15:35,60.0,10460500
2026-08-19 15:30,60.0,10457300
2026-08-19 15:40,60.0,12029000
2026-08-19 15:45,60.0,12029000
2026-08-19 15:55,60.0,12494300
2026-08-19 15:50,60.0,12494300
2026-08-19 16:05,60.0,13067400
