Waktu,Harga,Volume
2026-08-21 09:00,48.0,2024900
2026-08-21 09:05,48.0,2024900
2026-08-21 09:15,48.0,2024900
2026-08-21 09:10,48.0,2024900
2026-08-21 09:25,48.0,2024900
2026-08-21 09:20,48.0,2024900
2026-08-21 09:35,48.0,2024900
2026-08-21 09:30,48.0,2024900
2026-08-21 09:45,48.0,2024900
2026-08-21 09:40,48.0,2024900
2026-08-21 09:55,48.0,2024900
2026-08-21 09:50,48.0,2024900
2026-08-21 10:05,48.0,2024900
2026-08-21 10:00,48.0,2024900
2026-08-21 10:15,49.0,210800
2026-08-21 10:10,49.0,210800
2026-08-21 10:25,49.0,227000
2026-08-21 10:20,48.0,226900
2026-08-21 10:35,48.0,262100
2026-08-21 10:30,49.0,254900
2026-08-21 10:45,49.0,259000
2026-08-21 10:40,48.0,258100
2026-08-21 10:50,48.0,297900
2026-08-21 10:55,48.0,297900
2026-08-21 11:05,49.0,302100
2026-08-21 11:00,48.0,321900
2026-08-21 11:15,48.0,329000
2026-08-21 11:10,48.0,329000
2026-08-21 11:25,47.0,1955100
2026-08-21 11:20,47.0,1955100
2026-08-21 11:35,47.0,5062000
2026-08-21 11:30,46.0,5062100
2026-08-21 11:45,47.0,5241400
2026-08-21 11:40,47.0,5211400
2026-08-21 11:55,47.0,5245200
2026-08-21 11:50,47.0,5435200
2026-08-21 12:05,47.0,5558600
2026-08-21 12:00,47.0,5569100
2026-08-21 12:10,48.0,5735600
2026-08-21 12:15,48.0,5729300
2026-08-21 12:25,48.0,5735000
2026-08-21 12:20,47.0,5736200
2026-08-21 12:35,47.0,5744900
2026-08-21 12:30,47.0,5740300
2026-08-21 12:45,47.0,5740400
2026-08-21 12:40,47.0,5740400
2026-08-21 12:55,47.0,5740400
2026-08-21 12:50,47.0,5740400
2026-08-21 13:05,47.0,5740400
2026-08-21 13:00,47.0,5740400
2026-08-21 13:15,47.0,5740400
2026-08-21 13:10,47.0,5740400
2026-08-21 13:25,47.0,5740400
2026-08-21 13:20,47.0,5740400
2026-08-21 13:35,47.0,5740400
2026-08-21 13:30,47.0,5740400
2026-08-21 13:45,47.0,5740400
