Waktu,Harga,Volume
2026-08-20 09:00,64.0,21931300
2026-08-20 09:05,64.0,21931300
2026-08-20 09:10,64.0,21931300
2026-08-20 09:15,64.0,21931300
2026-08-20 09:25,64.0,21931300
2026-08-20 09:20,64.0,21931300
2026-08-20 09:35,64.0,21931300
2026-08-20 09:30,64.0,21931300
2026-08-20 09:45,64.0,21931300
2026-08-20 09:40,64.0,21931300
2026-08-20 09:55,64.0,21931300
2026-08-20 09:50,64.0,21931300
2026-08-20 10:05,64.0,21931300
2026-08-20 10:00,64.0,21931300
2026-08-20 10:15,64.0,696000
2026-08-20 10:10,64.0,692400
2026-08-20 10:25,64.0,897700
2026-08-20 10:20,64.0,922400
2026-08-20 10:35,65.0,1035500
2026-08-20 10:30,65.0,1035500
2026-08-20 10:45,64.0,1572800
2026-08-20 10:40,63.0,1682900
2026-08-20 10:55,63.0,1930800
2026-08-20 10:50,63.0,1920600
2026-08-20 11:05,63.0,2256300
2026-08-20 11:00,63.0,2256300
2026-08-20 11:15,64.0,2273900
2026-08-20 11:10,63.0,2352900
2026-08-20 11:25,63.0,2676400
2026-08-20 11:20,63.0,2842300
