Waktu,Harga,Volume
2026-08-19 09:00,67.0,27577500
2026-08-19 09:05,67.0,27577500
2026-08-19 09:15,67.0,27577500
2026-08-19 09:10,67.0,27577500
2026-08-19 09:25,67.0,27577500
2026-08-19 09:20,67.0,27577500
2026-08-19 09:35,67.0,27577500
2026-08-19 09:30,67.0,27577500
2026-08-19 09:45,67.0,27577500
2026-08-19 09:40,67.0,27577500
2026-08-19 09:55,67.0,27577500
2026-08-19 09:50,67.0,27577500
2026-08-19 10:05,67.0,27577500
2026-08-19 10:00,67.0,27577500
2026-08-19 10:15,67.0,1267400
2026-08-19 10:10,67.0,1366900
2026-08-19 10:25,69.0,3001500
2026-08-19 10:20,68.0,3249300
2026-08-19 10:35,67.0,3418800
2026-08-19 10:30,67.0,3418800
2026-08-19 10:45,67.0,3760200
2026-08-19 10:40,67.0,3760200
2026-08-19 10:55,67.0,4266900
2026-08-19 10:50,68.0,4295000
2026-08-19 11:05,67.0,4722800
2026-08-19 11:00,68.0,4641000
2026-08-19 11:15,68.0,4948300
2026-08-19 11:10,68.0,4948300
2026-08-19 11:25,67.0,4964600
2026-08-19 11:20,67.0,4964200
2026-08-19 11:35,67.0,5440100
2026-08-19 11:30,67.0,5434000
2026-08-19 11:45,67.0,5518700
2026-08-19 11:40,67.0,5518700
2026-08-19 11:55,66.0,8709800
2026-08-19 11:50,66.0,8711000
2026-08-19 12:00,66.0,9430300
2026-08-19 12:05,65.0,9471200
2026-08-19 12:15,66.0,9467800
2026-08-19 12:10,66.0,9464800
2026-08-19 12:25,65.0,9483500
2026-08-19 12:20,65.0,9483500
2026-08-19 12:35,66.0,9497800
2026-08-19 12:30,66.0,9497800
2026-08-19 12:45,65.0,9927000
2026-08-19 12:40,65.0,9922300
2026-08-19 12:55,65.0,9924800
2026-08-19 12:50,65.0,9924800
2026-08-19 13:05,65.0,10191500
2026-08-19 13:00,65.0,10184300
2026-08-19 13:15,65.0,10351800
2026-08-19 13:10,65.0,10351800
2026-08-19 13:25,65.0,10351800
2026-08-19 13:20,65.0,10351800
