Waktu,Harga,Volume
2026-08-19 09:00,97.0,473600
2026-08-19 09:05,97.0,473600
2026-08-19 09:15,97.0,473600
2026-08-19 09:10,97.0,473600
2026-08-19 09:25,97.0,473600
2026-08-19 09:20,97.0,473600
2026-08-19 09:35,97.0,473600
2026-08-19 09:30,97.0,473600
2026-08-19 09:45,97.0,473600
2026-08-19 09:40,97.0,473600
2026-08-19 09:55,97.0,473600
2026-08-19 09:50,97.0,473600
2026-08-19 10:05,97.0,473600
2026-08-19 10:00,97.0,473600
2026-08-19 10:15,97.0,473600
2026-08-19 10:10,97.0,473600
2026-08-19 10:25,97.0,473600
2026-08-19 10:20,97.0,473600
2026-08-19 10:35,97.0,6100
2026-08-19 10:30,97.0,6100
2026-08-19 10:45,97.0,4500
2026-08-19 10:40,97.0,4500
2026-08-19 10:55,98.0,4500
2026-08-19 10:50,98.0,24300
2026-08-19 11:05,97.0,14600
2026-08-19 11:00,97.0,14600
2026-08-19 11:15,97.0,14500
2026-08-19 11:10,97.0,14500
2026-08-19 11:25,96.0,66500
2026-08-19 11:20,96.0,66500
2026-08-19 11:35,96.0,66500
2026-08-19 11:30,96.0,66500
2026-08-19 11:45,98.0,66800
2026-08-19 11:40,98.0,66800
2026-08-19 11:55,98.0,66700
2026-08-19 11:50,98.0,66700
2026-08-19 12:00,98.0,66700
2026-08-19 12:05,98.0,66700
2026-08-19 12:15,98.0,66700
2026-08-19 12:10,98.0,66700
2026-08-19 12:25,98.0,68100
2026-08-19 12:20,98.0,68100
2026-08-19 12:35,98.0,68100
2026-08-19 12:30,98.0,68100
2026-08-19 12:45,98.0,68100
2026-08-19 12:40,98.0,68100
2026-08-19 12:55,98.0,68100
