Waktu,Harga,Volume
2026-08-20 09:00,81.0,16755600
2026-08-20 09:05,81.0,16755600
2026-08-20 09:10,81.0,16755600
2026-08-20 09:15,81.0,16755600
2026-08-20 09:25,81.0,16755600
2026-08-20 09:20,81.0,16755600
2026-08-20 09:35,81.0,16755600
2026-08-20 09:30,81.0,16755600
2026-08-20 09:45,81.0,16755600
2026-08-20 09:40,81.0,16755600
2026-08-20 09:55,81.0,16755600
2026-08-20 09:50,81.0,16755600
2026-08-20 10:05,81.0,16755600
2026-08-20 10:00,81.0,16755600
2026-08-20 10:15,81.0,1337700
2026-08-20 10:10,81.0,1275900
2026-08-20 10:25,82.0,1857300
2026-08-20 10:20,82.0,1879600
2026-08-20 10:35,82.0,1920300
2026-08-20 10:30,81.0,1922500
2026-08-20 10:45,81.0,2280800
2026-08-20 10:40,81.0,2280800
2026-08-20 10:55,81.0,2541000
2026-08-20 10:50,81.0,2540900
2026-08-20 11:05,82.0,2794500
2026-08-20 11:00,81.0,2795400
2026-08-20 11:15,81.0,3124300
2026-08-20 11:10,81.0,3124300
2026-08-20 11:25,81.0,3151300
2026-08-20 11:20,81.0,3151300
2026-08-20 11:35,81.0,3177200
2026-08-20 11:30,81.0,3177200
2026-08-20 11:45,81.0,3180100
2026-08-20 11:40,81.0,3180100
2026-08-20 11:55,81.0,3221100
2026-08-20 11:50,81.0,3221100
2026-08-20 12:05,81.0,3670200
2026-08-20 12:00,80.0,3730500
2026-08-20 12:10,80.0,3687600
2026-08-20 12:15,80.0,3687600
2026-08-20 12:25,81.0,3964400
2026-08-20 12:20,81.0,3964400
2026-08-20 12:35,81.0,4102700
2026-08-20 12:30,81.0,4102700
2026-08-20 12:45,80.0,4161100
2026-08-20 12:40,80.0,4161100
2026-08-20 12:55,81.0,4708300
2026-08-20 12:50,81.0,4708300
2026-08-20 13:00,82.0,4803800
2026-08-20 13:05,82.0,4803800
2026-08-20 13:15,82.0,4804900
2026-08-20 13:10,82.0,4804900
2026-08-20 13:25,82.0,4804900
2026-08-20 13:20,82.0,4804900
2026-08-20 13:30,82.0,4804900
2026-08-20 13:35,82.0,4804900
2026-08-20 13:45,82.0,4804900
2026-08-20 13:40,82.0,4804900
2026-08-20 13:55,82.0,4804900
2026-08-20 13:50,82.0,4804900
2026-08-20 14:05,82.0,4804900
2026-08-20 14:00,82.0,4804900
2026-08-20 14:15,82.0,4804900
2026-08-20 14:10,82.0,4804900
2026-08-20 14:20,82.0,4804900
2026-08-20 14:25,82.0,4804900
2026-08-20 14:35,82.0,4804900
2026-08-20 14:30,82.0,4804900
2026-08-20 14:45,82.0,5471500
2026-08-20 14:40,82.0,5511400
2026-08-20 14:55,81.0,5534700
2026-08-20 14:50,81.0,5537100
2026-08-20 15:05,82.0,5615900
2026-08-20 15:00,82.0,5615900
2026-08-20 15:15,81.0,5896600
2026-08-20 15:10,81.0,5896600
2026-08-20 15:25,81.0,6012000
