Waktu,Harga,Volume
2026-08-19 09:00,69.0,52219800
2026-08-19 09:05,69.0,52219800
2026-08-19 09:15,69.0,52219800
2026-08-19 09:10,69.0,52219800
2026-08-19 09:25,69.0,52219800
2026-08-19 09:20,69.0,52219800
2026-08-19 09:35,69.0,52219800
2026-08-19 09:30,69.0,52219800
2026-08-19 09:45,69.0,52219800
2026-08-19 09:40,69.0,52219800
2026-08-19 09:55,69.0,52219800
2026-08-19 09:50,69.0,52219800
2026-08-19 10:05,69.0,52219800
2026-08-19 10:00,69.0,52219800
2026-08-19 10:15,69.0,4584200
2026-08-19 10:10,68.0,4962700
2026-08-19 10:25,69.0,6575400
2026-08-19 10:20,69.0,6594900
2026-08-19 10:35,69.0,7078700
2026-08-19 10:30,69.0,7146900
2026-08-19 10:45,69.0,8502000
2026-08-19 10:40,69.0,8409400
2026-08-19 10:55,68.0,11068500
2026-08-19 10:50,68.0,11286500
2026-08-19 11:05,68.0,16349100
2026-08-19 11:00,68.0,16460200
2026-08-19 11:15,68.0,18130600
2026-08-19 11:10,69.0,19087200
2026-08-19 11:25,67.0,20083700
2026-08-19 11:20,68.0,20227700
2026-08-19 11:35,68.0,22423900
2026-08-19 11:30,68.0,22438500
2026-08-19 11:45,69.0,24397600
2026-08-19 11:40,68.0,24357200
2026-08-19 11:55,68.0,26028600
2026-08-19 11:50,68.0,28300200
2026-08-19 12:00,68.0,28759300
2026-08-19 12:05,67.0,28620800
2026-08-19 12:15,67.0,29028700
2026-08-19 12:10,67.0,28974200
2026-08-19 12:25,69.0,30680800
2026-08-19 12:20,68.0,30642600
2026-08-19 12:35,69.0,31448400
2026-08-19 12:30,68.0,31499400
2026-08-19 12:45,68.0,31592400
2026-08-19 12:40,68.0,31592400
2026-08-19 12:55,68.0,31722000
2026-08-19 12:50,68.0,31722000
2026-08-19 13:05,68.0,31767200
2026-08-19 13:00,68.0,31832100
2026-08-19 13:15,68.0,32194700
2026-08-19 13:10,68.0,32194700
2026-08-19 13:25,68.0,32194700
2026-08-19 13:20,68.0,32194700
2026-08-19 13:35,68.0,32194700
2026-08-19 13:30,68.0,32194700
2026-08-19 13:45,68.0,32194700
2026-08-19 13:40,68.0,32194700
2026-08-19 13:50,68.0,32194700
2026-08-19 13:55,68.0,32194700
2026-08-19 14:05,68.0,32194700
2026-08-19 14:00,68.0,32194700
2026-08-19 14:15,68.0,32194700
2026-08-19 14:10,68.0,32194700
2026-08-19 14:25,68.0,32194700
2026-08-19 14:20,68.0,32194700
2026-08-19 14:35,68.0,32194700
2026-08-19 14:30,68.0,32194700
2026-08-19 14:45,68.0,32832800
2026-08-19 14:40,67.0,32834500
2026-08-19 14:55,68.0,33061700
2026-08-19 14:50,68.0,33108300
2026-08-19 15:00,68.0,33587300
2026-08-19 15:05,68.0,33583000
2026-08-19 15:15,68.0,35439600
2026-08-19 15:10,68.0,35436600
2026-08-19 15:25,68.0,36103500
2026-08-19 15:20,67.0,36061100
2026-08-19 15:35,67.0,36113400
2026-08-19 15:30,68.0,36112100
2026-08-19 15:45,68.0,36655300
2026-08-19 15:40,68.0,37244700
2026-08-19 15:55,68.0,37441800
2026-08-19 15:50,67.0,38764300
2026-08-19 16:05,68.0,39287300
2026-08-19 16:00,69.0,39154600
2026-08-19 16:15,68.0,39485700
2026-08-19 16:10,68.0,39617600
2026-08-19 16:25,69.0,40565000
2026-08-19 16:20,69.0,40615100
2026-08-19 16:35,69.0,40965600
2026-08-19 16:30,69.0,40977100
2026-08-19 16:40,69.0,41391800
