Waktu,Harga,Volume
2026-08-20 09:00,690.0,656600
2026-08-20 09:05,690.0,656600
2026-08-20 09:10,690.0,656600
2026-08-20 09:15,690.0,656600
2026-08-20 09:25,690.0,656600
2026-08-20 09:20,690.0,656600
2026-08-20 09:35,690.0,656600
2026-08-20 09:30,690.0,656600
2026-08-20 09:45,690.0,656600
2026-08-20 09:40,690.0,656600
2026-08-20 09:55,690.0,656600
2026-08-20 09:50,690.0,656600
2026-08-20 10:05,690.0,656600
2026-08-20 10:00,690.0,656600
2026-08-20 10:15,700.0,13800
2026-08-20 10:10,700.0,13800
2026-08-20 10:25,665.0,20300
2026-08-20 10:20,675.0,22500
2026-08-20 10:35,675.0,29300
2026-08-20 10:30,675.0,28700
2026-08-20 10:45,670.0,34500
2026-08-20 10:40,670.0,32200
2026-08-20 10:55,665.0,33500
2026-08-20 10:50,665.0,33300
2026-08-20 11:05,670.0,33500
2026-08-20 11:00,670.0,33500
2026-08-20 11:15,675.0,41500
2026-08-20 11:10,675.0,41400
2026-08-20 11:25,675.0,45900
2026-08-20 11:20,675.0,45900
2026-08-20 11:35,700.0,49700
2026-08-20 11:30,700.0,49700
2026-08-20 11:45,700.0,52200
2026-08-20 11:40,700.0,52200
2026-08-20 11:55,715.0,54200
2026-08-20 11:50,715.0,54200
