Waktu,Harga,Volume
2026-08-19 09:00,790.0,2815100
2026-08-19 09:05,790.0,2815100
2026-08-19 09:15,790.0,2815100
2026-08-19 09:10,790.0,2815100
2026-08-19 09:25,790.0,2815100
2026-08-19 09:20,790.0,2815100
2026-08-19 09:35,790.0,2815100
2026-08-19 09:30,790.0,2815100
2026-08-19 09:45,790.0,2815100
2026-08-19 09:40,790.0,2815100
2026-08-19 09:55,790.0,2815100
2026-08-19 09:50,790.0,2815100
2026-08-19 10:05,790.0,2815100
2026-08-19 10:00,790.0,2815100
2026-08-19 10:15,785.0,77000
2026-08-19 10:10,785.0,78800
2026-08-19 10:25,785.0,134000
2026-08-19 10:20,785.0,131600
2026-08-19 10:35,785.0,138800
2026-08-19 10:30,785.0,139600
2026-08-19 10:45,785.0,158600
2026-08-19 10:40,785.0,158600
2026-08-19 10:55,790.0,682400
2026-08-19 10:50,790.0,911900
2026-08-19 11:05,790.0,943700
2026-08-19 11:00,790.0,941100
