Waktu,Harga,Volume
2026-08-20 09:00,300.0,144200
2026-08-20 09:05,300.0,144200
2026-08-20 09:10,300.0,144200
2026-08-20 09:15,300.0,144200
2026-08-20 09:25,300.0,144200
2026-08-20 09:20,300.0,144200
2026-08-20 09:35,300.0,144200
2026-08-20 09:30,300.0,144200
2026-08-20 09:45,300.0,144200
2026-08-20 09:40,300.0,144200
2026-08-20 09:55,300.0,144200
2026-08-20 09:50,300.0,144200
2026-08-20 10:05,300.0,144200
2026-08-20 10:00,300.0,144200
2026-08-20 10:15,310.0,88400
2026-08-20 10:10,308.0,50500
2026-08-20 10:25,298.0,50500
2026-08-20 10:20,298.0,50400
2026-08-20 10:35,298.0,51500
2026-08-20 10:30,298.0,51400
2026-08-20 10:45,298.0,51400
2026-08-20 10:40,298.0,51400
2026-08-20 10:55,294.0,62000
2026-08-20 10:50,294.0,61400
2026-08-20 11:05,288.0,74000
2026-08-20 11:00,294.0,76100
2026-08-20 11:15,294.0,84100
2026-08-20 11:10,294.0,84100
2026-08-20 11:25,292.0,89900
2026-08-20 11:20,292.0,89900
2026-08-20 11:35,292.0,90000
2026-08-20 11:30,292.0,90000
2026-08-20 11:45,288.0,108100
2026-08-20 11:40,288.0,123700
2026-08-20 11:55,288.0,119700
2026-08-20 11:50,288.0,119700
2026-08-20 12:05,288.0,120000
2026-08-20 12:00,288.0,120000
2026-08-20 12:10,292.0,121900
2026-08-20 12:15,292.0,121900
2026-08-20 12:25,286.0,122100
2026-08-20 12:20,286.0,122100
2026-08-20 12:35,286.0,122100
2026-08-20 12:30,286.0,122100
2026-08-20 12:45,286.0,122100
2026-08-20 12:40,286.0,122100
2026-08-20 12:55,286.0,122100
2026-08-20 12:50,288.0,122300
2026-08-20 13:00,290.0,126400
2026-08-20 13:05,290.0,126400
2026-08-20 13:15,286.0,136400
