Waktu,Harga,Volume
2026-08-20 09:00,276.0,3044100
2026-08-20 09:05,276.0,3044100
2026-08-20 09:10,276.0,3044100
2026-08-20 09:15,276.0,3044100
2026-08-20 09:25,276.0,3044100
2026-08-20 09:20,276.0,3044100
2026-08-20 09:35,276.0,3044100
2026-08-20 09:30,276.0,3044100
2026-08-20 09:45,276.0,3044100
2026-08-20 09:40,276.0,3044100
2026-08-20 09:55,276.0,3044100
2026-08-20 09:50,276.0,3044100
2026-08-20 10:05,276.0,3044100
2026-08-20 10:00,276.0,3044100
2026-08-20 10:15,280.0,51500
2026-08-20 10:10,280.0,51500
2026-08-20 10:25,282.0,81600
2026-08-20 10:20,282.0,84000
2026-08-20 10:35,280.0,184000
2026-08-20 10:30,284.0,239400
2026-08-20 10:45,286.0,305300
2026-08-20 10:40,284.0,373900
