Waktu,Harga,Volume
2026-08-18 09:00,346.0,36721300
2026-08-18 09:05,346.0,36721300
2026-08-18 09:10,346.0,36721300
2026-08-18 09:15,346.0,36721300
2026-08-18 09:25,346.0,36721300
2026-08-18 09:20,346.0,36721300
2026-08-18 09:35,346.0,36721300
2026-08-18 09:30,346.0,36721300
2026-08-18 09:40,346.0,36721300
2026-08-18 09:45,346.0,36721300
2026-08-18 09:55,346.0,36721300
2026-08-18 09:50,346.0,36721300
2026-08-18 10:05,346.0,36721300
2026-08-18 10:00,346.0,36721300
2026-08-18 10:15,346.0,1615200
2026-08-18 10:10,348.0,1739200
2026-08-18 10:20,350.0,6404100
2026-08-18 10:25,350.0,5966500
2026-08-18 10:35,348.0,8103100
2026-08-18 10:30,348.0,8136300
2026-08-18 10:40,348.0,8368700
2026-08-18 10:45,348.0,8327600
2026-08-18 10:55,348.0,8865100
2026-08-18 10:50,348.0,8871100
2026-08-18 11:05,346.0,9346300
2026-08-18 11:00,348.0,9365700
2026-08-18 11:15,346.0,9587000
2026-08-18 11:10,348.0,9632100
2026-08-18 11:25,348.0,10501200
2026-08-18 11:20,346.0,10489300
2026-08-18 11:35,348.0,11255800
2026-08-18 11:30,346.0,11287100
2026-08-18 11:45,348.0,14207700
2026-08-18 11:40,348.0,14212400
2026-08-18 11:55,346.0,14836900
